t_s,V_volts,i_medido_A,w_medido_rad_s,i_verdadeiro_A,w_verdadeiro_rad_s
0.082600,12.000000,5.969238,107.378655,5.944539,111.227556
0.082800,12.000000,5.925293,107.378655,5.936620,111.434292
0.083000,12.000000,5.932617,107.378655,5.928712,111.640729
0.083200,12.000000,5.954590,122.718463,5.920815,111.846869
0.083400,12.000000,5.954590,107.378655,5.912930,112.052712
0.083600,12.000000,5.903320,107.378655,5.905057,112.258258
0.083800,12.000000,5.939941,122.718463,5.897194,112.463507
0.084000,12.000000,5.888672,107.378655,5.889343,112.668461
0.084200,12.000000,5.859375,107.378655,5.881504,112.873118
0.084400,12.000000,5.859375,122.718463,5.873675,113.077481
0.084600,12.000000,5.822754,107.378655,5.865858,113.281549
0.084800,12.000000,5.830078,107.378655,5.858053,113.485323
0.085000,12.000000,5.837402,122.718463,5.850258,113.688803
0.085200,12.000000,5.866699,107.378655,5.842475,113.891990
0.085400,12.000000,5.888672,122.718463,5.834703,114.094883
0.085600,12.000000,5.786133,107.378655,5.826942,114.297484
0.085800,12.000000,5.830078,122.718463,5.819192,114.499793
0.086000,12.000000,5.778809,107.378655,5.811454,114.701810
0.086200,12.000000,5.815430,107.378655,5.803726,114.903536
0.086400,12.000000,5.793457,122.718463,5.796010,115.104971
0.086600,12.000000,5.734863,107.378655,5.788305,115.306116
0.086800,12.000000,5.808105,122.718463,5.780611,115.506970
0.087000,12.000000,5.756836,122.718463,5.772928,115.707535
0.087200,12.000000,5.749512,107.378655,5.765257,115.907810
0.087400,12.000000,5.727539,122.718463,5.757596,116.107797
0.087600,12.000000,5.727539,107.378655,5.749946,116.307496
0.087800,12.000000,5.756836,122.718463,5.742308,116.506906
0.088000,12.000000,5.727539,107.378655,5.734680,116.706029
0.088200,12.000000,5.734863,122.718463,5.727063,116.904865
0.088400,12.000000,5.727539,122.718463,5.719458,117.103414
0.088600,12.000000,5.749512,107.378655,5.711863,117.301677
0.088800,12.000000,5.690918,122.718463,5.704279,117.499654
0.089000,12.000000,5.654297,122.718463,5.696706,117.697345
0.089200,12.000000,5.720215,107.378655,5.689145,117.894751
0.089400,12.000000,5.668945,122.718463,5.681594,118.091873
0.089600,12.000000,5.705566,122.718463,5.674054,118.288710
0.089800,12.000000,5.676270,107.378655,5.666524,118.485264
0.090000,12.000000,5.654297,122.718463,5.659006,118.681534
0.090200,12.000000,5.661621,122.718463,5.651498,118.877521
0.090400,12.000000,5.705566,122.718463,5.644002,119.073226
0.090600,12.000000,5.698242,107.378655,5.636516,119.268648
